step,psnr,IoU,surface normal similarity,depth
0,9.420721054077148,0.0019287320532779795,0.0,3.0541205406188965
2000,20.089698791503906,0.4852898526976639,0.0,0.04197900742292404
4000,22.938323974609375,0.7041077878829617,0.0,0.011221617460250854
6000,24.631074905395508,0.7305190587910771,0.0,0.008712860755622387
8000,24.49666404724121,0.5875081860443956,0.0,0.004161312710493803
10000,25.62387466430664,0.6339735562014063,0.0,0.006890978664159775
12000,26.999420166015625,0.7847347966250784,0.0,0.06467325985431671
14000,27.939735412597656,0.9544545814504318,0.0,0.01865828037261963
16000,27.81830596923828,0.6494008486514022,0.0,0.0012604942312464118
18000,27.107053756713867,0.787694903641266,0.0,0.04308071359992027
20000,29.03152084350586,0.6789800088217223,0.0,0.0032218829728662968
22000,26.956369400024414,0.7507945203945998,0.0,0.004233242012560368
24000,28.223312377929688,0.8869765307880638,0.0,0.010509971529245377
26000,29.318138122558594,0.807762545849109,0.0,0.003073542844504118
28000,29.845989227294922,0.8249948778818755,0.0,0.0023404581006616354
30000,29.276050567626953,0.7849007427452775,0.0,0.0022056237794458866
32000,30.516572952270508,0.7495033965997391,0.0,0.0014048460870981216
34000,27.75984001159668,0.6572402753764365,0.0,0.0034331141505390406
36000,29.007001876831055,0.798049286512627,0.0,0.0049814749509096146
38000,28.128252029418945,0.7889782386137235,0.0,0.008079057559370995
40000,27.285476684570312,0.8434731132647483,0.0,0.03838774561882019
42000,28.52291488647461,0.780271527077169,0.0,0.009282073937356472
44000,28.759292602539062,0.8168655633097445,0.0,0.0024471855722367764
46000,28.985610961914062,0.7757976596236859,0.0,0.0053395661525428295
48000,31.351898193359375,0.8761275318766701,0.0,0.006994680967181921
50000,30.421249389648438,0.7703460669241278,0.0,0.005575153511017561
52000,29.514314651489258,0.7987622785690168,0.0,0.002950151450932026
54000,31.070573806762695,0.9715932555788154,0.0,0.008068326860666275
56000,30.713977813720703,0.7756624332247265,0.0,0.0029076854698359966
58000,27.3590087890625,0.8190680964353853,0.0,0.006308240350335836
60000,33.943275451660156,0.949503208950406,0.0,0.006979467812925577
62000,29.587589263916016,0.8411465501798021,0.0,0.001645856536924839
64000,27.305978775024414,0.7827427476716399,0.0,0.003141681896522641
66000,29.892980575561523,0.8547228368784259,0.0,0.001464513479731977
68000,30.054819107055664,0.7786415451573823,0.0,0.004198428243398666
70000,30.764392852783203,0.8330367354785585,0.0,0.0018229163251817226
72000,29.341947555541992,0.8498108038531677,0.0,0.019702749326825142
74000,29.71890640258789,0.8257205507238743,0.0,0.0016920012421905994
76000,30.36461639404297,0.8053488556232715,0.0,0.011785715818405151
78000,30.556577682495117,0.8119332489899865,0.0,0.004865104798227549
80000,30.73410415649414,0.826608976645444,0.0,0.00196399400010705
82000,28.414472579956055,0.991540267696862,0.0,0.00458232406526804
84000,30.819805145263672,0.9540522001666083,0.0,0.005493209697306156
86000,31.21653938293457,0.9710304659522168,0.0,0.005913307890295982
88000,32.67194366455078,0.7781772857129425,0.0,0.0008978917030617595
90000,28.53725814819336,0.7017453831735091,0.0,0.000862538639921695
92000,31.094337463378906,0.8335347983631662,0.0,0.0021547023206949234
94000,32.30372619628906,0.8101404346687365,0.0,0.0014118263497948647
96000,29.49993324279785,0.8113951505490588,0.0,0.0012444849126040936
98000,30.9864501953125,0.8240644924912913,0.0,0.0032674677204340696
100000,29.790695190429688,0.7793045335672062,0.0,0.0017179965507239103
102000,29.15294075012207,0.831563606281738,0.0,0.0009243272943422198
104000,28.939979553222656,0.6836277856781247,0.0,0.0011319095501676202
106000,28.93004608154297,0.8319627580585097,0.0,0.0015634740702807903
108000,30.980058670043945,0.8389581115553656,0.0,0.000636784010566771
110000,30.716156005859375,0.7281632380093024,0.0,0.005758111365139484
112000,33.47743225097656,0.9689362959701943,0.0,0.004986559972167015
114000,32.826171875,0.9761707305968057,0.0,0.004872363992035389
116000,30.604755401611328,0.7714326219668644,0.0,0.0033602137118577957
118000,36.35375213623047,0.9684848484848484,0.0,0.005837814882397652
120000,30.921255111694336,0.8368388019593673,0.0,0.004670100286602974
122000,30.385364532470703,0.7968731609080881,0.0,0.002754461020231247
124000,30.3833065032959,0.8313043516433347,0.0,0.0012956245336681604
126000,30.55338478088379,0.8547182796476263,0.0,0.006345461588352919
128000,29.409521102905273,0.813438219936398,0.0,0.005454651080071926
130000,36.43217468261719,0.9940538603698054,0.0,0.00575158279389143
132000,27.806102752685547,0.7351076247840501,0.0,0.001476103556342423
134000,31.014219284057617,0.839215098992253,0.0,0.0011887360597029328
136000,29.743959426879883,0.8199717146848294,0.0,0.0008829545695334673
138000,33.68424987792969,0.9794794178252825,0.0,0.003713439218699932
140000,30.306001663208008,0.7412632001312118,0.0,0.0011234681587666273
142000,32.500335693359375,0.8371076001635279,0.0,0.002128723543137312
144000,34.50248718261719,0.9951949821515039,0.0,0.004401586949825287
146000,29.970483779907227,0.85454234831228,0.0,0.0007870959816500545
148000,28.591005325317383,0.5951213213309987,0.0,0.0009578450699336827
150000,28.3456974029541,0.72314583018284,0.0,0.002248094417154789
152000,30.357200622558594,0.8283638476745584,0.0,0.0011922875419259071
154000,32.989437103271484,0.8410460332905518,0.0,0.0020312033593654633
156000,30.23724937438965,0.7453974706866899,0.0,0.0011454507475718856
158000,32.42545700073242,0.8035756146983197,0.0,0.0027949765790253878
160000,30.6648006439209,0.8291232159653212,0.0,0.0011644074693322182
162000,29.12356185913086,0.6844098438073676,0.0,0.0016369940713047981
164000,28.139188766479492,0.6629120125416422,0.0,0.0011009848676621914
166000,33.614898681640625,0.9864494658703364,0.0,0.004841614980250597
168000,31.334794998168945,0.8024656756397949,0.0,0.004131017252802849
170000,35.860145568847656,0.997860087346946,0.0,0.0037653727922588587
172000,28.85971450805664,0.6336354073891836,0.0,0.0019605758134275675
174000,34.048458099365234,0.9800186741363213,0.0,0.003358371090143919
176000,32.956809997558594,0.8890546111839186,0.0,0.0005169890355318785
178000,28.71515464782715,0.9712226678595671,0.0,0.029726257547736168
180000,31.036813735961914,0.8496874499036072,0.0,0.02288171835243702
182000,32.03643798828125,0.8126352831807913,0.0,0.0019459158647805452
184000,32.615882873535156,0.8162931643671641,0.0,0.003831589361652732
186000,33.519615173339844,0.8540051679586563,0.0,0.0011224769987165928
188000,31.06379508972168,0.8260781727356604,0.0,0.0010015161242336035
190000,32.190452575683594,0.8097312555531212,0.0,0.0012496968265622854
192000,33.640342712402344,0.8292148935045717,0.0,0.0012976559810340405
194000,31.645893096923828,0.7884595115419701,0.0,0.0011819219216704369
196000,32.52465057373047,0.8107503528324272,0.0,0.0006154250586405396
198000,31.078344345092773,0.861321208085914,0.0,0.0012251457665115595
200000,32.06938171386719,0.8106615552872912,0.0,0.0011263785418123007
