step,psnr,IoU,surface normal similarity,depth
0,9.402996063232422,0.0031036324786324785,-0.0932469516992569,3.0680127143859863
2000,21.836780548095703,0.5954819359156295,0.745329737663269,0.023184292018413544
4000,21.310302734375,0.8285779032359901,0.8115336894989014,0.014553172513842583
6000,23.848018646240234,0.8924225389403979,0.9034895896911621,0.013294399715960026
8000,24.678375244140625,0.8392928741888279,0.8875489234924316,0.00622389605268836
10000,25.155105590820312,0.8953669879482622,0.9083689451217651,0.006049510091543198
12000,25.7474365234375,0.9093769217619321,0.9156910181045532,0.021151740103960037
14000,27.64082145690918,0.9432114887749092,0.9403865337371826,0.005166764371097088
16000,26.27199935913086,0.9527266112067915,0.8598934412002563,0.0016074939630925655
18000,26.441307067871094,0.8928725125919467,0.8771501183509827,0.01628516986966133
20000,27.612699508666992,0.9224694303264566,0.9133591651916504,0.0032270150259137154
22000,27.214527130126953,0.9696438441845608,0.8333956003189087,0.0029731926042586565
24000,28.384201049804688,0.8282646406993829,0.9679911136627197,0.002150345593690872
26000,29.128623962402344,0.9580447228984659,0.94239342212677,0.002726722741499543
28000,28.739627838134766,0.8757019241965895,0.9383972883224487,0.003581223776564002
30000,28.37807273864746,0.9633431623723482,0.9326725006103516,0.002707274630665779
32000,29.928647994995117,0.8623814153886628,0.9648762941360474,0.0015023340238258243
34000,27.174057006835938,0.9557066346462894,0.8691424131393433,0.001204885309562087
36000,28.1018009185791,0.9706500755955174,0.9493967890739441,0.004012732766568661
38000,26.90812110900879,0.8687718640524092,0.9406828880310059,0.00623648427426815
40000,25.990365982055664,0.899120307949732,0.9456367492675781,0.024620242416858673
42000,28.231075286865234,0.9404385704568521,0.908653974533081,0.009056635200977325
44000,27.09532356262207,0.9478891697099272,0.9159184694290161,0.0016169319860637188
46000,29.712989807128906,0.9797046444863224,0.9596927165985107,0.002823818475008011
48000,30.212331771850586,0.8761275318766701,0.9764519929885864,0.0008901158580556512
50000,29.31122589111328,0.9110136964963388,0.9583420753479004,0.006079981103539467
52000,29.073854446411133,0.9730785664976663,0.9495523571968079,0.004431157372891903
54000,30.258018493652344,0.9687992597636792,0.9833366274833679,0.0006628584815189242
56000,29.733190536499023,0.9343202372126108,0.9672325849533081,0.00638813991099596
58000,26.69252586364746,0.9702605345107318,0.954503059387207,0.006991110742092133
60000,32.017879486083984,0.9925060328144738,0.9843679666519165,0.0006798541289754212
62000,27.91244888305664,0.9398562465448145,0.954221248626709,0.0034320512786507607
64000,27.694454193115234,0.9800708315852523,0.9099944829940796,0.001677461201325059
66000,29.261093139648438,0.9963809994806165,0.954411506652832,0.001765706343576312
68000,29.329923629760742,0.9419969849059967,0.9693219661712646,0.004783364478498697
70000,29.746822357177734,0.9701320716228724,0.9528388381004333,0.0022965155076235533
72000,28.839677810668945,0.9430029038021024,0.9654122591018677,0.012610970064997673
74000,29.012758255004883,0.9908053752993031,0.9604465365409851,0.0023608538322150707
76000,29.241544723510742,0.92302074786434,0.9705307483673096,0.019204091280698776
78000,30.678638458251953,0.9735772853732805,0.962646484375,0.004299504216760397
80000,29.900455474853516,0.9852756398808088,0.9796472787857056,0.0015372298657894135
82000,28.001373291015625,0.978774476226853,0.9393854141235352,0.0022854807320982218
84000,30.6937198638916,0.9405496155504418,0.9715996980667114,0.0016022739000618458
86000,30.872024536132812,0.895373655986809,0.9795569181442261,0.002882746048271656
88000,32.28041076660156,0.8931248756859491,0.9655826091766357,0.002043186454102397
90000,28.094905853271484,0.8490977443609024,0.9212971329689026,0.0010223891586065292
92000,30.10175132751465,0.9540700398266363,0.9742498397827148,0.002632023533806205
94000,32.09488296508789,0.9680207172870515,0.9621172547340393,0.0011147336335852742
96000,28.587186813354492,0.9627739778034584,0.9743197560310364,0.0021662754006683826
98000,30.942779541015625,0.973776202685089,0.9704272747039795,0.0034905290231108665
100000,30.03073501586914,0.9784743407034429,0.8879984617233276,0.0011923247948288918
102000,29.379091262817383,0.9690657334193552,0.981817364692688,0.0012774353381246328
104000,28.06303596496582,0.9742836997616872,0.8277432918548584,0.0007350155501626432
106000,28.528196334838867,0.9816622587607707,0.9805525541305542,0.0022278863471001387
108000,31.216989517211914,0.9971288860711938,0.965262770652771,0.00072263996116817
110000,29.745258331298828,0.9034611425207211,0.9277851581573486,0.0031697098165750504
112000,31.9468936920166,0.976560943970429,0.9838463068008423,0.0010224527213722467
114000,32.28672409057617,0.9708924617827954,0.9828236103057861,0.0018037607660517097
116000,30.15336036682129,0.9928616997127224,0.9090780019760132,0.0020898100920021534
118000,36.29487228393555,0.9607726628735034,0.9914780855178833,0.0005291387205943465
120000,29.77881622314453,0.9271110412632791,0.9682103395462036,0.008474525064229965
122000,29.57807731628418,0.9223744819791561,0.9760465025901794,0.004140149801969528
124000,29.836626052856445,0.9807765509767427,0.9745802879333496,0.0011077020317316055
126000,30.0465030670166,0.9937128407741854,0.9736113548278809,0.010592145845293999
128000,29.616409301757812,0.8596638924620106,0.9761492013931274,0.010176905430853367
130000,35.47801208496094,0.9940538603698054,0.9843521118164062,0.0007101845694705844
132000,27.424163818359375,0.985025580480126,0.9794342517852783,0.002271636389195919
134000,29.988265991210938,0.9909972200247513,0.9318835735321045,0.001193205127492547
136000,29.157560348510742,0.9819517269965531,0.9762710332870483,0.0015251586446538568
138000,32.62596130371094,0.9283557030492863,0.9819582104682922,0.0010765554616227746
140000,29.672880172729492,0.9480220492801082,0.9588499069213867,0.0009464290924370289
142000,32.30537033081055,0.9775771340849662,0.9746230244636536,0.0014703299384564161
144000,33.208274841308594,0.9499435880078362,0.9861247539520264,0.000960044446401298
146000,28.776416778564453,0.8589075006285116,0.9803916215896606,0.0006434840615838766
148000,28.29140281677246,0.9514714689619633,0.9723351001739502,0.0013445194344967604
150000,27.743797302246094,0.9938960735185962,0.9845782518386841,0.0028751161880791187
152000,29.653156280517578,0.9747211280723845,0.9812699556350708,0.001226726919412613
154000,32.337974548339844,0.9966721675918223,0.9800134301185608,0.002261387649923563
156000,29.803789138793945,0.9983825061488395,0.9833293557167053,0.0008791182190179825
158000,31.228076934814453,0.9719832356198768,0.9743777513504028,0.0035731110256165266
160000,30.106111526489258,0.9532960773736344,0.983700156211853,0.0010638947132974863
162000,29.00887680053711,0.8701798841468108,0.9704843759536743,0.0007644313154742122
164000,27.896160125732422,0.8957129955921452,0.9837269186973572,0.0019027555827051401
166000,32.02050018310547,0.981962060741362,0.9816838502883911,0.001560088712722063
168000,30.904468536376953,0.9757181183833042,0.9521498680114746,0.0031028608791530132
170000,36.31426239013672,0.9726892835018262,0.9919059872627258,0.0004937196499668062
172000,28.678123474121094,0.9429267090875568,0.9539450407028198,0.0010891061974689364
174000,32.06092834472656,0.9495384372096701,0.9880547523498535,0.0006120495963841677
176000,31.440088272094727,0.8953591091865141,0.9793502688407898,0.0004612595948856324
178000,27.745498657226562,0.9755051290705483,0.9684925079345703,0.033413078635931015
180000,29.7857723236084,0.9680326843567012,0.9714457392692566,0.013915017247200012
182000,31.21955108642578,0.9638231783372447,0.973963737487793,0.0031258680392056704
184000,31.69227409362793,0.9532860716006676,0.971822202205658,0.003487709444016218
186000,32.602752685546875,0.960710977715383,0.9840455055236816,0.001286128768697381
188000,30.66710662841797,0.9781355611301751,0.9804501533508301,0.0013045896776020527
190000,31.568187713623047,0.9517372805125612,0.9649975299835205,0.0017613308737054467
192000,33.211524963378906,0.9680325856158475,0.9862265586853027,0.0016596394125372171
194000,30.766862869262695,0.9835326438267616,0.9552533626556396,0.0008346472750417888
196000,32.03592300415039,0.9580225657011714,0.9842867851257324,0.0010660537518560886
198000,30.64398956298828,0.9767904212967238,0.9805703163146973,0.0018781896214932203
200000,32.2807731628418,0.9883454880727027,0.9721512794494629,0.0017999752890318632
