step,psnr,IoU,surface normal similarity,depth
0,9.419547080993652,0.00025484199796126404,0,3.0503592491149902
2000,19.073814392089844,0.5264882229842576,0,0.23597846925258636
4000,22.507661819458008,0.8395279841439485,0,0.012931980192661285
6000,23.71175193786621,0.9058653465677735,0,0.0054009174928069115
8000,24.181602478027344,0.7787263674121229,0,0.007010733243077993
10000,25.766340255737305,0.8712004424701855,0,0.010078534483909607
12000,26.594589233398438,0.9175521191632474,0,0.03234212100505829
14000,26.70157814025879,0.9030459809108269,0,0.0153708066791296
16000,27.768959045410156,0.9568158562958833,0,0.0014755706069990993
18000,27.202497482299805,0.9262622418274369,0,0.028510501608252525
20000,28.232812881469727,0.8387664748359639,0,0.0025322940200567245
22000,27.51012420654297,0.99192167271937,0,0.005270130466669798
24000,28.836437225341797,0.8183988838216099,0,0.012562181800603867
26000,29.919496536254883,0.9466818289054247,0,0.004030637443065643
0,9.419547080993652,0.00025484199796126404,0,3.0503592491149902
28000,28.984582901000977,0.9544315708647082,0,0.002224250929430127
30000,29.118154525756836,0.9619173731834179,0,0.0031265700235962868
32000,30.1047306060791,0.9505674213493204,0,0.0015419016126543283
34000,27.88796043395996,0.9212634218537943,0,0.004065211862325668
36000,28.544158935546875,0.9178647137882981,0,0.004498002119362354
38000,28.263423919677734,0.8997392860790578,0,0.013081921264529228
40000,27.06623649597168,0.9407566990692469,0,0.02937173843383789
42000,27.578622817993164,0.9534996979305423,0,0.008812930434942245
44000,27.891876220703125,0.9636239133864822,0,0.003798005636781454
46000,29.24346923828125,0.9873111513495592,0,0.0023015609476715326
48000,31.99393653869629,0.9593782005818023,0,0.008369344286620617
50000,30.230566024780273,0.9142185540451353,0,0.005049972794950008
52000,29.43431282043457,0.9330902923781533,0,0.003487976733595133
54000,30.6569881439209,0.9692682994559562,0,0.011020759120583534
56000,30.456083297729492,0.9305137231073355,0,0.004563774913549423
58000,27.343172073364258,0.9812204124290059,0,0.00995518546551466
60000,32.84749984741211,0.9530126914188638,0,0.005938552785664797
62000,27.848228454589844,0.9729389942909824,0,0.0025447423104196787
64000,28.157379150390625,0.9707749610174101,0,0.002989975269883871
66000,29.81454086303711,0.9948329634575127,0,0.0011412613093852997
68000,29.704042434692383,0.9482575423690826,0,0.004813496954739094
70000,30.710844039916992,0.9844275713766258,0,0.001493319170549512
72000,29.272958755493164,0.9638666712702673,0,0.02430521883070469
74000,29.344005584716797,0.9752551635160106,0,0.0018866092432290316
76000,30.307016372680664,0.9363908128704652,0,0.0138040566816926
78000,31.362987518310547,0.980324864939562,0,0.0047669075429439545
80000,31.103986740112305,0.9804211223362418,0,0.0013423574855551124
82000,29.06447982788086,0.9467671300025449,0,0.002826470183208585
84000,31.327144622802734,0.9720053779187873,0,0.005387797020375729
86000,31.461637496948242,0.9665774893649947,0,0.0055312602780759335
88000,33.09000015258789,0.9520703224579645,0,0.0009958385489881039
90000,28.61344337463379,0.9929907973292041,0,0.0005146837793290615
92000,30.601106643676758,0.983626689164101,0,0.0020001186057925224
94000,32.5296516418457,0.968211043964272,0,0.0011055928189307451
96000,29.275123596191406,0.9721437513583209,0,0.000993432360701263
98000,31.218055725097656,0.9782021559731878,0,0.004189418628811836
100000,30.170753479003906,0.9894787681344336,0,0.001991520170122385
102000,31.308870315551758,0.9772937795405523,0,0.0007638622773811221
104000,28.872833251953125,0.9783079877404159,0,0.0013466754462569952
106000,28.74441146850586,0.9827408196276913,0,0.001178777776658535
108000,30.539342880249023,0.9919581309004385,0,0.0008474705973640084
110000,30.900344848632812,0.9015929785428128,0,0.004484509117901325
112000,32.4627799987793,0.9806826236174061,0,0.006245545111596584
114000,32.79820251464844,0.9773217149227307,0,0.004226185381412506
116000,30.152307510375977,0.9928616997127224,0,0.0028846804052591324
118000,36.86874008178711,0.9341287238861362,0,0.004588455427438021
120000,30.42761993408203,0.9724116792780609,0,0.005558418110013008
122000,30.335872650146484,0.8989532073871397,0,0.002351795556023717
124000,30.66361427307129,0.9759505128173712,0,0.0016288961051031947
126000,30.23837661743164,0.9952397388309103,0,0.005601413547992706
128000,30.826200485229492,0.9817788504779108,0,0.005838669370859861
130000,36.18079376220703,0.9940538603698054,0,0.005391380749642849
132000,27.433794021606445,0.993776951209372,0,0.002376495860517025
134000,30.876619338989258,0.9972663635858079,0,0.0010577479843050241
136000,29.75040054321289,0.9825878925716989,0,0.0009571865666657686
138000,33.67689514160156,0.9842644716576696,0,0.0024975184351205826
140000,30.575944900512695,0.9943108190234627,0,0.002030208008363843
142000,33.03846740722656,0.9845821514807902,0,0.0022870958782732487
144000,34.892032623291016,1.0,0,0.0055585866793990135
146000,30.006013870239258,0.8589075006285116,0,0.0007797394646331668
148000,28.53651237487793,0.8637875353417179,0,0.0007707600598223507
150000,28.37571907043457,1.0,0,0.001798511017113924
152000,30.46961212158203,0.9735297350906844,0,0.0008996197720989585
154000,32.644752502441406,1.0,0,0.0034564188681542873
156000,30.586402893066406,0.9903870618796231,0,0.0010488629341125488
158000,32.485172271728516,0.9032927378399006,0,0.0031787054613232613
160000,30.740697860717773,0.9661448332822365,0,0.0011345467064529657
162000,29.222379684448242,0.8518359407078919,0,0.0016980735817924142
164000,28.187034606933594,0.9924678887641851,0,0.001070397556759417
166000,33.561031341552734,0.9823665724995173,0,0.005244522355496883
168000,30.98694610595703,0.9783974533436203,0,0.004160319454967976
170000,37.27437210083008,0.997860087346946,0,0.003616563742980361
172000,28.83268165588379,0.9510760576402326,0,0.0025101134087890387
174000,35.136356353759766,0.9800186741363213,0,0.005212740041315556
176000,33.27436447143555,0.893857571659465,0,0.0005676113069057465
178000,29.536239624023438,0.9245087647012585,0,0.02355734258890152
180000,30.193592071533203,0.9716775936318608,0,0.015811610966920853
182000,31.676712036132812,0.9624189664536674,0,0.0020920434035360813
184000,32.323360443115234,0.9951016452660589,0,0.002642956329509616
186000,33.766448974609375,0.9625,0,0.0008365088724531233
188000,31.248334884643555,0.9916466975712953,0,0.0008978050318546593
190000,32.569007873535156,0.9638880382515542,0,0.0019957800395786762
192000,33.60038757324219,0.953212287807085,0,0.0018129019299522042
194000,31.29256248474121,0.9917473968298725,0,0.0021366667933762074
196000,32.791778564453125,0.9091816262934462,0,0.0005648687365464866
198000,31.16213035583496,0.9962032248796955,0,0.0013473043218255043
200000,32.57420349121094,0.9815320472217101,0,0.0013759478460997343
